iter	Passed	Remaining
855	3437	578
856	3440	574
857	3444	570
858	3448	566
859	3453	562
860	3457	558
861	3461	554
862	3465	550
863	3469	546
864	3473	542
865	3477	538
866	3481	534
867	3485	530
868	3489	525
869	3493	522
870	3497	518
871	3502	514
872	3506	510
873	3510	506
874	3514	502
875	3519	498
876	3523	494
877	3526	490
878	3530	486
879	3535	482
880	3539	478
881	3543	474
882	3547	470
883	3551	466
884	3555	462
885	3559	458
886	3564	454
887	3568	450
888	3572	446
889	3576	442
890	3580	437
891	3584	433
892	3588	429
893	3592	425
894	3596	421
895	3600	417
896	3604	413
897	3608	409
898	3612	405
899	3617	401
900	3621	397
901	3624	393
902	3628	389
903	3633	385
904	3637	381
905	3641	377
906	3645	373
907	3649	369
908	3653	365
909	3657	361
910	3661	357
911	3664	353
912	3669	349
913	3673	345
914	3677	341
915	3680	337
916	3684	333
917	3689	329
918	3692	325
919	3696	321
920	3700	317
921	3705	313
922	3709	309
923	3713	305
924	3717	301
925	3720	297
926	3724	293
927	3728	289
928	3731	285
929	3735	281
930	3739	277
931	3743	273
932	3747	269
933	3751	265
934	3755	261
935	3759	257
936	3763	253
937	3767	248
938	3770	244
939	3775	240
940	3779	236
941	3783	232
942	3787	228
943	3791	224
944	3795	220
945	3799	216
946	3803	212
947	3806	208
948	3810	204
949	3814	200
950	3818	196
951	3822	192
952	3826	188
953	3831	184
954	3835	180
955	3839	176
956	3844	172
957	3848	168
958	3852	164
959	3856	160
960	3860	156
961	3864	152
962	3868	148
963	3872	144
964	3876	140
965	3880	136
966	3884	132
967	3888	128
968	3891	124
969	3895	120
970	3900	116
971	3904	112
972	3908	108
973	3912	104
974	3916	100
975	3920	96
976	3924	92
977	3928	88
978	3932	84
979	3936	80
980	3941	76
981	3945	72
982	3949	68
983	3953	64
984	3957	60
985	3961	56
986	3965	52
987	3969	48
988	3974	44
989	3978	40
990	3982	36
991	3986	32
992	3990	28
993	3994	24
994	3998	20
995	4002	16
996	4006	12
997	4010	8
998	4014	4
999	4017	0
